Stations,Easting_X_m,Northing_Y_m,Elev_H_m,x_m,Norm_h_m,offsets_m,DOI_max_m,dep_38,dep_76,dep_114,dep_152,dep_190,dep_228,dep_266,dep_304,dep_342,dep_380,dep_418,dep_456,dep_494,dep_532,dep_570,dep_608,dep_646,dep_684,dep_722,dep_760,dep_798,dep_836,dep_874,dep_912,res_38,res_76,res_114,res_152,res_190,res_228,res_266,res_304,res_342,res_380,res_418,res_456,res_494,res_532,res_570,res_608,res_646,res_684,res_722,res_760,res_798,res_836,res_874,res_912
S00,448628.66498,2881476.64497,573.4,0,172.34999999999997,11.0,-912,-38.0,-76.0,-114.0,-152.0,-190.0,-228.0,-266.0,-304.0,-342.0,-380.0,-418.0,-456.0,-494.0,-532.0,-570.0,-608.0,-646.0,-684.0,-722.0,-760.0,-798.0,-836.0,-874.0,-912.0,2.38590075,2.66018075,2.90822675,3.122726,3.29232675,3.41428825,3.49218925,3.520845,3.44227275,3.38980925,3.3220695000000005,3.2518504999999998,3.184435,3.1518765,2.9579325,2.9103052500000004,2.890306,2.9225517500000002,3.01721775,3.16352725,3.4060159999999997,3.6976915,3.93169425,4.09766525
S01,448672.34498,2881452.58496,566.8,50,165.74999999999994,61.4,-912,-38.0,-76.0,-114.0,-152.0,-190.0,-228.0,-266.0,-304.0,-342.0,-380.0,-418.0,-456.0,-494.0,-532.0,-570.0,-608.0,-646.0,-684.0,-722.0,-760.0,-798.0,-836.0,-874.0,-912.0,2.04726575,2.2987694999999997,2.42307825,2.4858495,2.5091165,2.51961425,2.5323685,2.55138525,2.5970255,2.66396275,2.7204035000000006,2.755536,2.760286,2.7539315,2.745458833333334,2.736986166666668,2.7263953333333353,2.713686333333336,2.700977333333337,2.686150166666671,2.669204833333339,2.65014133333334,2.628959666666675,2.6077780000000095
S02,448716.82498,2881428.74997,553.95,100,152.90000000000003,101.8,-912,-38.0,-76.0,-114.0,-152.0,-190.0,-228.0,-266.0,-304.0,-342.0,-380.0,-418.0,-456.0,-494.0,-532.0,-570.0,-608.0,-646.0,-684.0,-722.0,-760.0,-798.0,-836.0,-874.0,-912.0,2.195864,2.56411775,2.9085927499999995,3.2217824999999998,3.4978835000000004,3.7395032500000003,3.9467675,4.10940975,4.23192025,4.29291025,4.2679505,4.17891475,4.03989275,3.958457,3.52816625,3.2495087500000004,2.99305325,2.8301755,2.7872325,3.0422185,3.4060159999999997,3.6976915,3.93169425,4.09766525
S03,448749.73498,2881389.53998,544.35,150,143.3,168.6,-912,-38.0,-76.0,-114.0,-152.0,-190.0,-228.0,-266.0,-304.0,-342.0,-380.0,-418.0,-456.0,-494.0,-532.0,-570.0,-608.0,-646.0,-684.0,-722.0,-760.0,-798.0,-836.0,-874.0,-912.0,1.86414525,1.6507545000000001,1.55435725,1.60271275,1.77221125,1.97345875,2.14549275,2.2205185,2.344271,2.4588905,2.533643,2.5835765,2.614291,2.6248199999999997,2.5273239999999997,2.3413910000000002,2.3344389999999997,2.596016,2.94302325,3.2375290000000003,3.53579375,3.81944,3.9963207500000006,4.0876357500000005
S04,448784.10498,2881351.80996,536.65,200,135.59999999999997,208.8,-912,-38.0,-76.0,-114.0,-152.0,-190.0,-228.0,-266.0,-304.0,-342.0,-380.0,-418.0,-456.0,-494.0,-532.0,-570.0,-608.0,-646.0,-684.0,-722.0,-760.0,-798.0,-836.0,-874.0,-912.0,3.189015,2.5626884999999997,2.12507075,1.84260425,1.7504745,1.8200195,1.9655062499999998,2.1264157499999996,2.3150732499999997,2.49992125,2.62886025,2.71638375,2.76555625,2.77135325,2.6478035,2.40833275,2.32372925,2.53085725,2.8655085,3.033159,3.3900115,3.688339,3.87654275,3.97849025
S05,448823.01498,2881319.80997,530.65,250,129.59999999999997,248.8,-912,-38.0,-76.0,-114.0,-152.0,-190.0,-228.0,-266.0,-304.0,-342.0,-380.0,-418.0,-456.0,-494.0,-532.0,-570.0,-608.0,-646.0,-684.0,-722.0,-760.0,-798.0,-836.0,-874.0,-912.0,1.77020775,1.90023475,2.00715725,2.12757225,2.27119625,2.426933,2.5796202499999996,2.7214332499999996,2.8861980000000003,3.0543345,3.17627625,3.2598392499999997,3.2914960000000004,3.2505065,3.04912275,2.6833590000000003,2.39840025,2.4293685,2.69830075,2.8556084999999998,3.2236512500000005,3.537736,3.73713325,3.846128
S06,448857.44498,2881282.51497,534.6,300,133.55,311.6,-912,-38.0,-76.0,-114.0,-152.0,-190.0,-228.0,-266.0,-304.0,-342.0,-380.0,-418.0,-456.0,-494.0,-532.0,-570.0,-608.0,-646.0,-684.0,-722.0,-760.0,-798.0,-836.0,-874.0,-912.0,2.365002,2.6984642500000002,2.9147655,3.06877075,3.1708350000000003,3.24074475,3.2929517500000003,3.3157665,3.410799,3.4719602499999995,3.52067625,3.5535705,3.55003,3.535012,3.31926975,2.95295375,2.5699765,2.415793,2.5563825,2.679825,3.053758,3.3812100000000003,3.59135575,3.70685075
S07,448900.49498,2881256.47496,527.55,350,126.49999999999994,351.8,-912,-38.0,-76.0,-114.0,-152.0,-190.0,-228.0,-266.0,-304.0,-342.0,-380.0,-418.0,-456.0,-494.0,-532.0,-570.0,-608.0,-646.0,-684.0,-722.0,-760.0,-798.0,-836.0,-874.0,-912.0,2.51114075,2.326984,2.1827587499999996,2.1298327500000003,2.19112025,2.33448225,2.51270125,2.605573,2.85650075,3.12557075,3.3226845000000003,3.45615425,3.5220597500000004,3.536061,3.3829219999999998,3.1247949999999998,2.77533025,2.5020629999999997,2.4761497500000003,2.534466,2.601113142857143,2.6760911785714283,2.7594001071428567,2.842709035714285
S08,448949.22998,2881238.56496,517.25,400,116.19999999999999,414.6,-912,-38.0,-76.0,-114.0,-152.0,-190.0,-228.0,-266.0,-304.0,-342.0,-380.0,-418.0,-456.0,-494.0,-532.0,-570.0,-608.0,-646.0,-684.0,-722.0,-760.0,-798.0,-836.0,-874.0,-912.0,3.07927475,2.6759477499999997,2.3913884999999997,2.22266925,2.17693325,2.2307517499999996,2.3483167500000004,2.418772,2.747696,3.0027749999999997,3.21023225,3.36253625,3.45128975,3.4777125,3.3902125,3.19318225,2.88039475,2.572298,2.46262925,2.58800125,2.8950757499999997,3.231394,3.451343,3.57275375
S09,448992.77498,2881213.97997,510.3,450,109.25,454.8,-912,-38.0,-76.0,-114.0,-152.0,-190.0,-228.0,-266.0,-304.0,-342.0,-380.0,-418.0,-456.0,-494.0,-532.0,-570.0,-608.0,-646.0,-684.0,-722.0,-760.0,-798.0,-836.0,-874.0,-912.0,3.37655475,3.2288085000000004,3.0930795,2.9678210000000003,2.853504,2.76620375,2.719013,2.7064529999999998,2.7504717500000004,2.9367025,3.112913,3.259133,3.36643825,3.4092890000000002,3.46106925,3.35236125,3.1024587500000003,2.75648825,2.4966877500000004,2.4926515,2.7602537500000004,3.0990557500000007,3.327467,3.453295
