      STA            UTM_ZONE       EAST_UTM       NORTH_UTM      ELEV_M        
0     s_0            49R            448628.66498   2881476.64497  573.40        
1     s_50           49R            448672.34498   2881452.58496  566.80        
2     s_100          49R            448716.82498   2881428.74997  553.95        
3     s_150          49R            448749.73498   2881389.53998  544.35        
4     s_200          49R            448784.10498   2881351.80996  536.65        
5     s_250          49R            448823.01498   2881319.80997  530.65        
6     s_300          49R            448857.44498   2881282.51497  534.60        
7     s_350          49R            448900.49498   2881256.47496  527.55        
8     s_400          49R            448949.22998   2881238.56496  517.25        
9     s_450          49R            448992.77498   2881213.97997  510.30        
10    s_500          49R            449031.34998   2881183.44497  503.40        
11    s_550          49R            449074.67498   2881155.97996  502.80        
12    s_600          49R            449116.16498   2881128.96497  499.25        
13    s_650          49R            449153.51997   2881097.15997  493.80        
14    s_700          49R            449194.89997   2881061.80997  491.65        
15    s_750          49R            449241.09999   2881038.21996  498.75        
16    s_800          49R            449282.10498   2881015.60997  503.45        
17    s_850          49R            449320.01998   2880985.63497  498.55        
18    s_900          49R            449357.43497   2880951.21997  492.85        
19    s_950          49R            449395.61998   2880915.42996  488.15        
20    s_1000         49R            449439.51498   2880891.10497  481.75        
21    s_1050         49R            449486.79499   2880876.15996  477.75        
22    s_1100         49R            449527.98997   2880849.33497  473.50        
23    s_1150         49R            449568.20498   2880816.32996  479.00        
24    s_1200         49R            449615.35498   2880796.65997  494.55        
25    s_1250         49R            449658.52998   2880772.56497  504.80        
26    s_1300         49R            449699.01497   2880739.17497  505.00        
27    s_1350         49R            449737.19498   2880705.50997  497.45        
28    s_1400         49R            449776.96998   2880678.10497  495.80        
29    s_1450         49R            449823.46998   2880654.52496  496.80        
30    s_1500         49R            449868.92998   2880628.71997  485.40        
31    s_1550         49R            449907.90998   2880597.85997  470.55        
32    s_1600         49R            449947.58498   2880568.40997  462.85        
33    s_1650         49R            449989.50498   2880541.15997  450.40        
34    s_1700         49R            450029.86498   2880514.98497  435.40        
35    s_1750         49R            450070.30997   2880487.28497  427.75        
36    s_1800         49R            450112.80998   2880459.04497  415.05        
37    s_1850         49R            450155.17998   2880432.94997  401.05        
38    s_1900         49R            450195.14498   2880403.29497  401.40        
39    s_1950         49R            450230.74498   2880373.58997  404.00        
40    s_2000         49R            450269.36998   2880346.39497  401.55        
41    s_2050         49R            450312.24998   2880319.05497  401.95        
42    s_2100         49R            450352.31998   2880290.59497  403.25        
43    s_2150         49R            450392.28498   2880263.96997  419.35        
44    s_2200         49R            450437.61998   2880240.86996  424.35        
45    s_2250         49R            450481.44498   2880213.84997  411.50        
46    s_2300         49R            450520.08497   2880179.39997  423.75        
