stations,easting_x_m,northing_y_m,elev_h_m,x_m,norm_h_m,offsets_m,doi_max_m,dep_114,rho_114
S00,448628.66498,2881476.6449700003,573.4,0,172.34999999999997,11.0,-912,-114.0,2.90822675
S01,448672.34498,2881452.5849599997,566.8,50,165.74999999999994,61.4,-912,-114.0,2.42307825
S02,448716.82498000003,2881428.7499700002,553.95,100,152.90000000000003,101.8,-912,-114.0,2.9085927499999995
S03,448749.73498,2881389.53998,544.35,150,143.3,168.6,-912,-114.0,1.55435725
S04,448784.10498,2881351.8099599998,536.65,200,135.59999999999997,208.8,-912,-114.0,2.12507075
S05,448823.01498000004,2881319.8099700003,530.65,250,129.59999999999997,248.8,-912,-114.0,2.00715725
S06,448857.44498000003,2881282.51497,534.6,300,133.55,311.6,-912,-114.0,2.9147654999999997
S07,448900.49498,2881256.47496,527.55,350,126.49999999999994,351.8,-912,-114.0,2.18275875
S08,448949.22998,2881238.5649599996,517.25,400,116.2,414.6,-912,-114.0,2.3913885
S09,448992.77498000005,2881213.97997,510.3,450,109.25,454.8,-912,-114.0,3.0930795
S10,449031.34998,2881183.44497,503.4,500,102.34999999999997,500.8,-912,-114.0,1.65610825
S11,449074.67498,2881155.9799599997,502.8,550,101.75,541.0,-912,-114.0,3.82240825
S12,449116.16498,2881128.96497,499.25,600,98.2,603.8,-912,-114.0,4.0669665
S13,449153.51996999996,2881097.15997,493.8,650,92.75,644.0,-912,-114.0,3.6498825
S14,449194.89996999997,2881061.8099700003,491.65,700,90.59999999999997,706.8,-912,-114.0,3.3146837500000004
S15,449241.09998999996,2881038.21996,498.75,750,97.7,747.0,-912,-114.0,2.60345625
S16,449282.10498,2881015.60997,503.45,800,102.39999999999998,809.8,-912,-114.0,3.2111102499999995
S17,449320.01998000004,2880985.63497,498.55,850,97.5,850.0,-912,-114.0,2.09025175
S18,449357.43497,2880951.21997,492.85,900,91.8,912.8,-912,-114.0,1.57488275
S19,449395.61998,2880915.42996,488.15,950,87.09999999999997,953.0,-912,-114.0,2.00149575
S20,449439.51498000004,2880891.10497,481.75,1000,80.69999999999997,993.0,-912,-114.0,1.6553835
S21,449486.79498999997,2880876.15996,477.75,1050,76.69999999999997,1062.6,-912,-114.0,0.9253950999999999
S22,449527.98997,2880849.33497,473.5,1100,72.44999999999997,1102.7,-912,-114.0,1.04662495
S23,449568.20498000004,2880816.32996,479.0,1150,77.94999999999997,1142.7,-912,-114.0,1.47545775
S24,449615.35498,2880796.65997,494.55,1200,93.5,1209.7,-912,-114.0,1.24760225
S25,449658.52998,2880772.56497,504.8,1250,103.75,1249.7,-912,-114.0,0.99979445
S26,449699.01496999996,2880739.17497,505.0,1300,103.95,1312.7,-912,-114.0,1.69136775
S27,449737.19498000003,2880705.50997,497.45,1350,96.39999999999998,1352.7,-912,-114.0,1.597184
S28,449776.96998,2880678.10497,495.8,1400,94.75,1415.7,-912,-114.0,1.4707059999999998
S29,449823.46998,2880654.52496,496.8,1450,95.75,1455.7,-912,-114.0,1.79835975
S30,449868.92998,2880628.71997,485.4,1500,84.34999999999997,1501.9,-912,-114.0,1.9140495
S31,449907.90998,2880597.85997,470.55,1550,69.5,1541.9,-912,-114.0,2.8367165
S32,449947.58498000004,2880568.40997,462.85,1600,61.80000000000001,1604.9,-912,-114.0,2.8959597500000003
S33,449989.50498,2880541.15997,450.4,1650,49.34999999999997,1644.9,-912,-114.0,2.3322755
S34,450029.86498,2880514.98497,435.4,1700,34.349999999999966,1707.9,-912,-114.0,2.30930475
S35,450070.30997,2880487.28497,427.75,1750,26.699999999999992,1747.9,-912,-114.0,1.407178
S36,450112.80998,2880459.04497,415.05,1800,14.0,1810.9,-912,-114.0,1.27999
S37,450155.17998,2880432.94997,401.05,1850,0.0,1850.9,-912,-114.0,2.49667625
S38,450195.14498000004,2880403.29497,401.4,1900,0.3499999999999659,1913.9,-912,-114.0,2.96783825
S39,450230.74498,2880373.58997,404.0,1950,2.9499999999999886,1953.9,-912,-114.0,2.8020672500000003
S40,450269.36998,2880346.3949700003,401.55,2000,0.5,1993.9,-912,-114.0,2.1898675
S41,450312.24998,2880319.05497,401.95,2050,0.8999999999999773,2040.1,-912,-114.0,2.40541
S42,450352.31998000003,2880290.59497,403.25,2100,2.1999999999999886,2080.1,-912,-114.0,0.8283564999999999
S43,450392.28498,2880263.96997,419.35,2150,18.30000000000001,2147.3,-912,-114.0,1.4508804999999998
S44,450437.61998,2880240.86996,424.35,2200,23.300000000000008,2210.1,-912,-114.0,1.6878287499999998
S45,450481.44498000003,2880213.84997,411.5,2250,10.449999999999989,2250.3,-912,-114.0,2.851426
S46,450520.08496999997,2880179.39997,423.75,2300,22.699999999999992,2309.1,-912,-114.0,2.96524925
S00,449995.55998,2880843.7499700002,430.7,0,30.649999999999977,10.8,-912,-114.0,2.58079975
S01,450036.93998,2880815.98997,431.65,50,31.599999999999966,38.8,-912,-114.0,2.6174515
S02,450078.31998000003,2880788.22997,431.7,100,31.649999999999977,105.6,-912,-114.0,2.6538107500000003
S03,450119.69998000003,2880760.46997,431.8,150,31.75,145.8,-912,-114.0,2.428613
S04,450161.07998000004,2880732.70997,432.65,200,32.599999999999966,208.6,-912,-114.0,2.60885875
S05,450202.45998000004,2880704.94997,426.65,250,26.599999999999966,248.8,-912,-114.0,2.7517025
S06,450243.83998000005,2880677.18997,409.8,300,9.75,311.6,-912,-114.0,2.798339
S07,450285.21998,2880649.42497,400.75,350,0.6999999999999886,351.8,-912,-114.0,2.5585835
S08,450326.59998,2880621.65997,400.05,400,0.0,391.8,-912,-114.0,2.761331
S09,450367.97998,2880593.89997,400.35,450,0.30000000000001137,437.8,-912,-114.0,2.658931
S10,450409.35998,2880566.13997,403.75,500,3.6999999999999886,478.0,-912,-114.0,2.48768075
S11,450450.73498,2880538.37997,409.55,550,9.5,540.8,-912,-114.0,2.269742
S12,450492.10998,2880510.61997,415.4,600,15.349999999999964,581.0,-912,-114.0,2.3213825
S13,450533.48998,2880482.85997,420.25,650,20.19999999999999,643.8,-912,-114.0,2.37902175
S14,450574.86998,2880455.09997,431.15,700,31.099999999999966,684.0,-912,-114.0,2.13748825
S15,450616.24998,2880427.33997,448.1,750,48.05000000000001,746.8,-912,-114.0,1.84373575
S00,449723.73498999997,2882095.4799599997,503.7,0,77.0,10.8,-912,-114.0,2.450413
S01,449770.08498999994,2882078.87996,503.0,49,76.30000000000003,50.8,-912,-114.0,2.537096
S02,449816.43499,2882062.27996,491.95,98,65.25,87.5,-912,-114.0,2.3858757500000003
S03,449862.78498999996,2882045.67496,483.65,147,56.94999999999999,139.7,-912,-114.0,2.5004025000000003
S04,449909.13998999994,2882029.06996,477.7,196,51.0,176.4,-912,-114.0,2.508856
S05,449955.49499,2882012.46996,470.85,245,44.15000000000003,228.6,-912,-114.0,2.585927
S06,450001.84498999995,2881995.86496,469.8,294,43.100000000000016,265.3,-912,-114.0,2.575477
S07,450048.19499,2881979.25996,468.65,343,41.94999999999999,343.2,-912,-114.0,2.5286530000000003
S08,450094.54498999997,2881962.65996,463.55,392,36.85000000000002,380.1,-912,-114.0,2.70163725
S09,450140.89998999995,2881946.0599599998,454.7,441,28.0,432.3,-912,-114.0,2.40648075
S10,450187.25499,2881929.45496,448.7,490,22.0,494.9,-912,-114.0,2.449089
S11,450233.60498999996,2881912.84996,445.6,539,18.900000000000034,532.0,-912,-114.0,2.1315115
S12,450279.95498999994,2881896.2499599997,440.45,588,13.75,584.2,-912,-114.0,2.3870125
S13,450326.30499,2881879.64996,435.7,637,9.0,620.9,-912,-114.0,2.13928725
S14,450372.65998999996,2881863.0449599996,431.75,686,5.050000000000012,673.1,-912,-114.0,1.96498
S15,450419.01498999994,2881846.4399599996,429.5,735,2.800000000000012,709.8,-912,-114.0,1.70776225
S16,450465.36499,2881829.83996,426.7,784,0.0,762.0,-912,-114.0,2.467719
S00,449073.95498999994,2882552.57496,483.4,0,52.29999999999996,10.8,-912,-114.0,3.410769
S01,449121.18499,2882535.87996,481.4,50,50.29999999999996,50.8,-912,-114.0,3.0351075
S02,449168.40998999996,2882519.1849599998,481.2,100,50.09999999999997,113.4,-912,-114.0,2.263629
S03,449215.63498999993,2882502.49496,481.45,150,50.34999999999997,149.8,-912,-114.0,1.4757865
S04,449262.85998999997,2882485.80496,481.05,200,49.94999999999999,205.8,-912,-114.0,2.8277085
S05,449310.08498999994,2882469.10996,478.95,250,47.84999999999997,264.4,-912,-114.0,1.96541475
S06,449357.31499,2882452.4149599997,476.9,300,45.79999999999996,320.8,-912,-114.0,1.94790425
S07,449404.53998999996,2882435.72496,475.6,350,44.5,356.8,-912,-114.0,1.317411875
S08,449451.76498999994,2882419.03496,475.0,400,43.899999999999984,408.8,-912,-114.0,2.4776055
S09,449498.99499,2882402.33996,472.75,450,41.64999999999998,444.8,-912,-114.0,1.49056025
S10,449546.21998999995,2882385.6449599997,468.6,500,37.5,496.8,-912,-114.0,2.54129475
S11,449593.44499,2882368.95496,465.85,550,34.75,559.6,-912,-114.0,2.76016325
S12,449640.67498999997,2882352.26496,464.05,600,32.94999999999999,611.8,-912,-114.0,2.53195375
S13,449687.89998999995,2882335.56996,463.8,650,32.69999999999999,647.8,-912,-114.0,2.1656992500000003
S14,449735.12499,2882318.8749599997,463.5,700,32.399999999999984,699.8,-912,-114.0,1.8304695
S15,449782.35498999996,2882302.1849599998,461.2,750,30.099999999999966,762.6,-912,-114.0,2.23521975
S16,449829.57998999994,2882285.49496,459.2,800,28.099999999999966,798.8,-912,-114.0,1.992531
S17,449876.80499,2882268.79996,455.95,850,24.849999999999966,850.8,-912,-114.0,3.237015
S18,449924.02998999995,2882252.1049599997,451.95,900,20.84999999999997,913.6,-912,-114.0,2.839775
S19,449971.25499,2882235.4149599997,448.85,950,17.75,965.8,-912,-114.0,2.24301525
S20,450018.48498999997,2882218.72496,446.25,1000,15.149999999999974,1001.8,-912,-114.0,2.4354732500000003
S21,450065.70998999994,2882202.02996,442.9,1050,11.799999999999955,1057.8,-912,-114.0,2.99559875
S22,450112.93499,2882185.3349599997,444.7,1100,13.599999999999964,1093.8,-912,-114.0,1.9449485
S23,450160.16498999996,2882168.6449599997,446.3,1150,15.199999999999989,1145.8,-912,-114.0,2.47478475
S24,450207.38998999994,2882151.95496,443.8,1200,12.699999999999989,1208.8,-912,-114.0,3.04330275
S25,450254.61499,2882135.25996,443.65,1250,12.549999999999955,1260.8,-912,-114.0,1.8836915
S26,450301.84498999995,2882118.5649599996,440.9,1300,9.799999999999956,1296.8,-912,-114.0,2.17979675
S27,450349.06999,2882101.8749599997,437.75,1350,6.649999999999977,1348.8,-912,-114.0,1.10133885
S28,450396.29498999997,2882085.1849599998,435.45,1400,4.349999999999966,1411.8,-912,-114.0,2.010751
S29,450443.51998999994,2882068.48996,431.1,1450,0.0,1447.8,-912,-114.0,1.803136
S30,450490.74499,2882051.7949599996,446.75,1500,15.649999999999974,1499.8,-912,-114.0,3.05019675
S00,449942.58998999995,2882422.03496,464.75,0,35.0,11.0,-912,-114.0,2.4790535
S01,449989.64498999994,2882405.19996,453.85,50,24.100000000000023,61.4,-912,-114.0,2.4928185000000003
S02,450036.69499,2882388.36496,450.3,100,20.55000000000001,114.9,-912,-114.0,2.61454475
S03,450083.74999,2882371.53496,450.15,150,20.399999999999977,177.7,-912,-114.0,2.448476
S04,450130.80499,2882354.70496,449.1,200,19.350000000000023,231.2,-912,-114.0,2.606693
S05,450177.85998999997,2882337.8749599997,443.9,250,14.149999999999974,266.4,-912,-114.0,2.52821225
S06,450224.91498999996,2882321.0449599996,438.6,300,8.850000000000025,320.5,-912,-114.0,2.69937875
S07,450271.96498999995,2882304.21496,437.15,350,7.399999999999977,355.7,-912,-114.0,2.60791475
S08,450319.01998999994,2882287.38496,442.6,400,12.850000000000026,409.8,-912,-114.0,2.60900425
S09,450366.07498999994,2882270.55496,447.35,450,17.600000000000023,468.4,-912,-114.0,2.6728265
S10,450413.12999,2882253.72496,438.7,500,8.949999999999989,522.0,-912,-114.0,2.8515465
S11,450460.18499,2882236.8949599997,429.75,550,0.0,561.3,-912,-114.0,2.42167025
S00,452344.11998,2887269.33497,652.45,0,60.55000000000007,10.9,-912,-114.0,2.82096225
S01,452379.57498000003,2887234.6249700002,651.8,50,59.899999999999984,60.1,-912,-114.0,2.66702
S02,452415.02998,2887199.91997,642.3,100,50.399999999999984,101.1,-912,-114.0,2.26346375
S03,452450.48498,2887165.21497,624.4,150,32.5,163.9,-912,-114.0,1.8198915
S04,452485.93998,2887130.50497,610.65,200,18.75,205.1,-912,-114.0,2.4183485
S05,452521.39498000004,2887095.79997,606.65,250,14.75,266.6,-912,-114.0,1.96373725
S06,452556.84998,2887061.09497,599.1,300,7.2000000000000455,307.6,-912,-114.0,2.2900455
S07,452592.30498,2887026.38497,597.75,350,5.850000000000023,352.7,-912,-114.0,2.3516529999999998
S08,452627.75998000003,2886991.67997,602.4,400,10.5,393.7,-912,-114.0,2.7880955000000003
S09,452663.21498000005,2886956.97497,597.35,450,5.4500000000000455,455.2,-912,-114.0,2.68218875
S10,452698.66998,2886922.2699700003,591.9,500,0.0,496.2,-912,-114.0,2.42001475
S11,452734.12998,2886887.56497,594.0,550,2.1000000000000227,559.1,-912,-114.0,2.4488005
S12,452769.58498000004,2886852.85497,593.7,600,1.8000000000000682,620.7,-912,-114.0,2.0593250000000003
S13,452805.03998,2886818.14997,609.5,650,17.600000000000023,661.7,-912,-114.0,2.64435075
S14,452840.49498,2886783.44497,622.75,700,30.850000000000023,702.7,-912,-114.0,2.43391425
S15,452875.94998000003,2886748.73497,607.2,750,15.30000000000007,743.7,-912,-114.0,2.5914479999999998
S16,452911.40498,2886714.02997,598.25,800,6.350000000000023,805.2,-912,-114.0,2.1615314999999997
S17,452946.85998,2886679.32497,603.6,850,11.700000000000045,846.2,-912,-114.0,2.107087
S18,452982.31498,2886644.61497,608.0,900,16.100000000000026,887.2,-912,-114.0,1.68447075
S19,453017.76998000004,2886609.90997,611.6,950,19.70000000000005,969.2,-912,-114.0,1.7412804999999998
S20,453053.22498,2886575.20497,618.95,1000,27.05000000000007,1010.2,-912,-114.0,1.90355775
S21,453088.67998,2886540.49497,635.2,1050,43.30000000000007,1051.2,-912,-114.0,2.378413
S00,452771.43498,2888131.96497,589.45,0,12.200000000000045,11.0,-912,-114.0,2.55488525
S01,452812.38498000003,2888104.29997,583.3,49,6.0499999999999545,61.4,-912,-114.0,2.052368
S02,452853.33998000005,2888076.63997,577.25,98,0.0,101.8,-912,-114.0,2.66352925
S03,452894.29498,2888048.97497,588.15,147,10.899999999999975,168.6,-912,-114.0,2.5890595000000003
S04,452935.24498,2888021.3099700003,596.6,196,19.350000000000023,204.8,-912,-114.0,1.888234
S05,452976.19998000003,2887993.64997,591.1,245,13.850000000000026,248.8,-912,-114.0,2.32873575
S06,453017.15498,2887965.98497,587.0,294,9.75,294.8,-912,-114.0,2.322875
S07,453058.10498,2887938.31997,584.8,343,7.549999999999954,357.8,-912,-114.0,2.6233795
S08,453099.05498,2887910.65497,584.65,392,7.399999999999977,398.0,-912,-114.0,2.50062475
S09,453140.00998000003,2887882.98997,584.8,441,7.549999999999954,460.8,-912,-114.0,2.2190415
S10,453180.96498000005,2887855.32997,584.8,490,7.549999999999954,501.0,-912,-114.0,2.0707470000000003
S11,453221.91498,2887827.6649700003,593.7,539,16.450000000000045,563.8,-912,-114.0,2.00510525
S12,453262.86498,2887799.9999700002,599.35,588,22.100000000000023,604.0,-912,-114.0,2.13202825
S13,453303.81998000003,2887772.33997,601.7,637,24.45000000000005,666.8,-912,-114.0,2.54759125
S14,453344.77498000005,2887744.67497,601.8,686,24.54999999999995,707.0,-912,-114.0,2.421393
S15,453385.72498,2887717.00997,590.35,735,13.100000000000026,747.0,-912,-114.0,2.0344755
S16,453426.67498,2887689.34497,580.35,784,3.1000000000000227,816.6,-912,-114.0,2.10604575
S17,453467.62998,2887661.67997,585.05,833,7.799999999999954,856.7,-912,-114.0,1.50931625
S18,453508.58498000004,2887634.0199700003,588.05,882,10.799999999999956,896.7,-912,-114.0,1.719873
S19,453549.53498,2887606.35497,586.9,931,9.649999999999975,959.5,-912,-114.0,1.7735655
S20,453590.48998,2887578.68997,591.15,980,13.899999999999974,999.7,-912,-114.0,2.26827225
S21,453631.44498000003,2887551.02497,599.15,1029,21.899999999999977,1062.5,-912,-114.0,2.358746
S00,453453.48501999996,2887324.03498,589.05,0,8.149999999999977,11.0,-912,-114.0,2.5811535
S01,453472.41501999996,2887370.06498,589.2,50,8.300000000000068,65.6,-912,-114.0,2.56270825
S02,453491.34502,2887416.09498,586.5,100,5.600000000000024,108.4,-912,-114.0,2.527747
S03,453510.28002,2887462.1299799997,585.0,150,4.100000000000024,147.1,-912,-114.0,2.487597
S04,453529.21502,2887508.16498,585.8,200,4.899999999999976,200.6,-912,-114.0,2.66092225
S05,453548.14502,2887554.19498,584.25,250,3.3500000000000227,243.2,-912,-114.0,2.51389675
S06,453567.07502,2887600.22498,582.2,300,1.3000000000000682,296.7,-912,-114.0,2.79196375
S07,453586.00502,2887646.2549799997,580.9,350,0.0,339.3,-912,-114.0,2.7173225
S08,453604.93502,2887692.28498,585.45,400,4.550000000000068,378.0,-912,-114.0,2.50157575
S09,453623.86501999997,2887738.31998,588.55,450,7.649999999999977,431.5,-912,-114.0,2.7292320000000005
S10,453642.80001999997,2887784.35498,587.15,500,6.25,502.7,-912,-114.0,2.47171425
S11,453661.73501999996,2887830.38498,589.7,550,8.800000000000068,541.3,-912,-114.0,2.17401975
S12,453680.66501999996,2887876.41498,596.1,600,15.200000000000045,594.8,-912,-114.0,2.556078
S13,453699.59502,2887922.44498,597.7,650,16.800000000000068,637.4,-912,-114.0,2.4843900000000003
S14,453718.52502,2887968.47998,596.55,700,15.649999999999974,704.7,-912,-114.0,2.1493830000000003
S15,453737.45502,2888014.51498,597.75,750,16.850000000000026,758.1,-912,-114.0,1.95978475
S16,453756.38502,2888060.54498,602.25,800,21.350000000000023,800.7,-912,-114.0,1.59811875
S17,453775.32002,2888106.57498,604.75,850,23.850000000000023,839.4,-912,-114.0,2.3635195
S00,452969.68001999997,2887531.15498,582.1,0,8.800000000000068,11.1,-912,-114.0,2.5827807500000004
S01,452991.50502,2887576.11998,577.6,50,4.300000000000068,54.1,-912,-114.0,2.64016825
S02,453013.33502,2887621.07998,576.7,100,3.4000000000000914,121.5,-912,-114.0,2.618414
S03,453035.16001999995,2887666.04498,582.4,150,9.100000000000025,160.7,-912,-114.0,2.4979095
S04,453056.98501999996,2887711.00998,584.6,200,11.30000000000007,228.3,-912,-114.0,2.6286875
S05,453078.81502,2887755.96998,580.1,250,6.800000000000068,271.9,-912,-114.0,2.587481
S06,453100.64502,2887800.93498,574.15,300,0.8500000000000227,323.6,-912,-114.0,2.667854
S07,453122.47002,2887845.8999799998,575.15,350,1.8500000000000227,367.4,-912,-114.0,2.6735875
S08,453144.29501999996,2887890.8599799997,573.3,400,0.0,434.8,-912,-114.0,2.49684725
S09,453166.12502,2887935.82498,574.1,450,0.8000000000000682,474.2,-912,-114.0,2.749477
S10,453187.95002,2887980.78998,579.45,500,6.150000000000091,501.6,-912,-114.0,2.50945625
S11,453209.77502,2888025.74998,578.6,550,5.300000000000068,541.4,-912,-114.0,3.1382790000000003
