stations,easting,northing,elev,sigma_step,step_cal,step,den,err,longitude,latitude
D5-00,2850004.066,362622.396,277.566,0,0,0,0.007,-0.019,109.6301244,25.76166518
D5-20,2850016.987,362637.665,278.586,20.00236491,20.00236491,20,20.009,-0.021,109.6302753,25.76178326
D5-40,2850029.881,362652.933,278.864,19.98417024,39.98653515,40,39.993,-0.005,109.6304262,25.76190109
D5-60,2850042.753,362668.255,277.579,20.01129851,59.99783365,60,60.005,0.065,109.6305776,25.76201873
D5-80,2850055.736,362683.538,277.652,20.05313886,80.05097251,80,80.057,0.023,109.6307286,25.76213737
D5-100,2850068.677,362698.811,278.334,20.01834184,100.0693144,100,100.076,0.009,109.6308795,25.76225563
D5-120,2850081.618,362714.005,278.568,19.95813411,120.0274485,120,120.034,-0.058,109.6310297,25.76237388
D5-140,2850094.479,362729.306,279.69,19.98814454,140.015593,140,140.039,-0.008,109.6311809,25.76249142
D5-160,2850107.396,362744.581,286.367,20.00436237,160.0199554,160,160.046,-0.023,109.6313318,25.76260946
D5-180,2850120.305,362759.875,293.396,20.01371322,180.0336686,180,180.047,0.043,109.631483,25.76272743
D5-200,2850133.175,362775.126,295.896,19.95569846,199.989367,200,200.015,0.034,109.6316337,25.76284504
D5-220,2850146.167,362790.392,297.337,20.04601756,220.0353846,220,220.042,-0.002,109.6317845,25.76296376
D5-240,2850159.031,362805.647,296.436,19.95488715,239.9902718,240,239.996,0.03,109.6319353,25.76308132
D5-260,2850171.96,362820.867,293.574,19.97016377,259.9604355,260,259.966,-0.01,109.6320857,25.76319946
D5-280,2850184.883,362836.185,291.997,20.04108413,280.0015197,280,280.008,0.017,109.632237,25.76331756
D5-300,2850197.804,362851.462,286.498,20.00847246,300.0099921,300,300.014,0.016,109.632388,25.76343564
D5-320,2850210.754,362866.719,280.708,20.01196015,320.0219523,320,320.028,-0.012,109.6325388,25.76355398
D5-340,2850223.684,362881.989,280.629,20.008943,340.0308953,340,340.037,-0.022,109.6326897,25.76367213
D5-360,2850236.555,362897.262,280.984,19.97316124,360.0040565,360,360.01,0.017,109.6328406,25.76378976
D5-380,2850249.549,362912.559,281.714,20.07093035,380.0749868,380,380.081,-0.024,109.6329918,25.76390849
D5-400,2850262.384,362927.816,284.537,19.93773493,400.0127218,400,400.018,0.031,109.6331426,25.76402579
