station_num,edi_file,raw_x_file,chainage_design_m,northing,easting,elev,source,use_for_survey
1,Z2HX001.edi,X2HX.001,1.0,2850828.525,362607.5696,257.9511,test_shot_approx,False
2,Z2HX002.edi,X2HX.002,0.0,2850828.525,362607.5696,257.9511,gps_exact,True
3,Z2HX003.edi,X2HX.003,20.0,2850821.854,362626.9799,257.4241,gps_exact,True
4,Z2HX004.edi,X2HX.004,40.0,2850815.405,362646.2191,257.4001,gps_exact,True
5,Z2HX005.edi,X2HX.005,60.0,2850808.341,362664.8294,253.4761,gps_exact,True
6,Z2HX006.edi,X2HX.006,80.0,2850801.781,362683.4619,244.7491,gps_exact,True
7,Z2HX007.edi,X2HX.007,100.0,2850794.115,362702.08,240.0111,gps_exact,True
8,Z2HX008.edi,X2HX.008,120.0,2850787.415,362720.6243,237.2821,gps_exact,True
9,Z2HX009.edi,X2HX.009,140.0,2850779.665,362739.2856,226.1001,gps_exact,True
10,Z2HX010.edi,X2HX.010,160.0,2850773.363,362758.6005,219.7111,gps_exact,True
11,Z2HX011.edi,X2HX.011,180.0,2850766.8,362777.5572,216.2961,gps_exact,True
12,Z2HX012.edi,X2HX.012,200.0,2850759.417,362795.6267,216.3791,gps_exact,True
13,Z2HX013.edi,X2HX.013,220.0,2850752.514,362814.4336,218.0381,gps_exact,True
14,Z2HX014.edi,X2HX.014,240.0,2850746.021,362833.2453,218.3211,gps_exact,True
15,Z2HX015.edi,X2HX.015,260.0,2850738.407,362852.3576,218.3981,gps_exact,True
16,Z2HX016.edi,X2HX.016,280.0,2850732.432,362869.6317,218.9901,gps_exact,True
17,Z2HX017.edi,X2HX.017,300.0,2850724.938,362889.6164,220.1111,gps_exact,True
18,Z2HX018.edi,X2HX.018,320.0,2850718.281,362908.5962,220.1571,gps_exact,True
19,Z2HX019.edi,X2HX.019,340.0,2850711.217,362927.0124,224.5201,gps_exact,True
20,Z2HX020.edi,X2HX.020,360.0,2850704.428,362946.4113,224.9231,gps_exact,True
21,Z2HX021.edi,X2HX.021,380.0,2850696.062,362964.439,229.1351,gps_exact,True
22,Z2HX022.edi,X2HX.022,400.0,2850690.035,362983.1276,231.7341,gps_exact,True
23,Z2HX023.edi,X2HX.023,420.0,2850683.298,363002.7371,232.5241,gps_exact,True
24,Z2HX024.edi,X2HX.024,440.0,2850676.26,363021.3347,233.3181,gps_exact,True
25,Z2HX025.edi,X2HX.025,460.0,2850669.362,363040.0073,233.9871,gps_exact,True
26,Z2HX026.edi,X2HX.026,480.0,2850662.331,363057.6462,236.3741,gps_exact,True
27,Z2HX027.edi,X2HX.027,500.0,2850655.487,363077.2826,243.8901,gps_exact,True
28,Z2HX028.edi,X2HX.028,520.0,2850649.063,363096.218,250.2651,gps_exact,True
29,Z2HX029.edi,X2HX.029,540.0,2850648.059,363116.6759,253.4111,gps_exact,True
30,Z2HX030.edi,X2HX.030,580.0,2850627.483,363152.4678,257.9421,gps_exact,True
31,Z2HX031.edi,X2HX.031,600.0,2850620.417,363170.5462,267.2881,gps_exact,True
32,Z2HX032.edi,X2HX.032,620.0,2850613.875,363189.5654,274.6381,gps_exact,True
33,Z2HX033.edi,X2HX.033,640.0,2850606.665,363208.6071,281.5581,gps_exact,True
34,Z2HX034.edi,X2HX.034,660.0,2850600.47,363227.576,287.7461,gps_exact,True
35,Z2HX035.edi,X2HX.035,680.0,2850593.032,363246.3878,292.2881,gps_exact,True
36,Z2HX036.edi,X2HX.036,700.0,2850586.075,363264.299,294.1651,gps_exact,True
37,Z2HX037.edi,X2HX.037,720.0,2850579.25,363283.7305,294.3411,gps_exact,True
38,Z2HX038.edi,X2HX.038,740.0,2850571.89,363301.9271,294.5901,gps_exact,True
39,Z2HX039.edi,X2HX.039,760.0,2850565.669,363321.1604,291.7901,gps_exact,True
40,Z2HX040.edi,X2HX.040,780.0,2850557.667,363339.5591,290.3231,gps_exact,True
41,Z2HX041.edi,X2HX.041,800.0,2850551.693,363358.7123,290.4071,gps_exact,True
42,Z2HX042.edi,X2HX.042,820.0,2850544.214,363375.9717,296.1491,gps_exact,True
43,Z2HX043.edi,X2HX.043,820.0,2850544.214,363375.9717,296.1491,checkpoint_dup,True
44,Z2HX044.edi,X2HX.044,840.0,2850538.127,363396.3561,303.9641,gps_exact,True
45,Z2HX045.edi,X2HX.045,860.0,2850530.424,363415.2458,313.3821,gps_exact,True
46,Z2HX046.edi,X2HX.046,880.0,2850523.605,363433.6148,320.8141,gps_exact,True
47,Z2HX047.edi,X2HX.047,900.0,2850516.463,363452.1666,326.7291,gps_exact,True
48,Z2HX048.edi,X2HX.048,920.0,2850509.869,363470.7403,334.2851,gps_exact,True
49,Z2HX049.edi,X2HX.049,940.0,2850503.54,363490.3542,343.3351,gps_exact,True
50,Z2HX050.edi,X2HX.050,960.0,2850496.313,363507.5,346.2701,gps_exact,True
51,Z2HX051.edi,X2HX.051,980.0,2850488.637,363527.8161,344.4871,gps_exact,True
52,Z2HX052.edi,X2HX.052,1000.0,2850481.721,363546.2356,333.5791,gps_exact,True
53,Z2HX053.edi,X2HX.053,1020.0,2850474.77,363565.1651,323.6561,gps_exact,True
54,Z2HX054.edi,X2HX.054,1040.0,2850452.568,363578.4268,318.6971,gps_exact,True
55,Z2HX055.edi,X2HX.055,1060.0,2850448.868,363619.0632,309.3351,gps_exact,True
56,Z2HX056.edi,X2HX.056,1080.0,2850448.029076655,363629.22509798524,307.7772388585729,interpolated,True
57,Z2HX057.edi,X2HX.057,1100.0,2850447.148,363639.8976,306.1411,gps_exact,True
58,Z2HX058.edi,X2HX.058,1120.0,2850440.444,363658.3123,297.0191,gps_exact,True
59,Z2HX059.edi,X2HX.059,1140.0,2850433.34,363677.5069,292.4281,gps_exact,True
60,Z2HX060.edi,X2HX.060,1160.0,2850427.588,363695.5404,290.5341,gps_exact,True
61,Z2HX061.edi,X2HX.061,1180.0,2850420.147,363715.0283,289.5511,gps_exact,True
62,Z2HX062.edi,X2HX.062,1200.0,2850412.984,363733.9955,283.8991,gps_exact,True
63,Z2HX063.edi,X2HX.063,1220.0,2850405.804,363752.3245,282.2661,gps_exact,True
64,Z2HX064.edi,X2HX.064,1240.0,2850391.973,363789.7514,279.0781,gps_exact,True
65,Z2HX065.edi,X2HX.065,1260.0,2850384.9720656304,363808.36010688235,280.26702256276207,interpolated,True
66,Z2HX066.edi,X2HX.066,1280.0,2850377.929,363827.0808,281.4631,gps_exact,True
67,Z2HX067.edi,X2HX.067,1300.0,2850374.455123686,363836.58336286206,280.62708417378747,interpolated,True
68,Z2HX068.edi,X2HX.068,1320.0,2850370.998,363846.0401,279.7951,gps_exact,True
69,Z2HX069.edi,X2HX.069,1320.0,2850370.998,363846.0401,279.7951,checkpoint_dup,True
70,Z2HX070.edi,X2HX.070,1340.0,2850363.967,363865.4543,278.6011,gps_exact,True
71,Z2HX071.edi,X2HX.071,1360.0,2850357.641,363884.3122,278.8931,gps_exact,True
72,Z2HX072.edi,X2HX.072,1380.0,2850350.194,363903.0158,279.7421,gps_exact,True
73,Z2HX073.edi,X2HX.073,1400.0,2850343.537,363921.8024,280.7881,gps_exact,True
74,Z2HX074.edi,X2HX.074,1420.0,2850336.695,363940.4325,280.2701,gps_exact,True
75,Z2HX075.edi,X2HX.075,1420.0,2850336.695,363940.4325,280.2701,checkpoint_dup,True
76,Z2HX076.edi,X2HX.076,1440.0,2850329.91,363959.1995,278.8051,gps_exact,True
77,Z2HX077.edi,X2HX.077,1460.0,2850323.197,363977.9038,276.4231,gps_exact,True
