station ,lon,lat,elev,step,Site 
K0+019.7991,2850828.525,362607.5696,257.9511,0,K0
K0+040.3187,2850821.854,362626.9799,257.4241,19.7991,K1
K0+060.6005,2850815.405,362646.2191,257.4001,40.3187,K2
K0+080.5054,2850808.341,362664.8294,253.4761,60.6005,K3
K0+100.2568,2850801.781,362683.4619,244.7491,80.5054,K4
K0+120.3778,2850794.115,362702.08,240.0111,100.2568,K5
K0+140.0948,2850787.415,362720.6243,237.2821,120.3778,K6
K0+160.2856,2850779.665,362739.2856,226.1001,140.0948,K7
K0+180.5873,2850773.363,362758.6005,219.7111,160.2856,K8
K0+200.6439,2850766.8,362777.5572,216.2961,180.5873,K9
K0+220.1521,2850759.417,362795.6267,216.3791,200.6439,K10
K0+240.1858,2850752.514,362814.4336,218.0381,220.1521,K11
K0+260.0818,2850746.021,362833.2453,218.3211,240.1858,K12
K0+280.6484,2850738.407,362852.3576,218.3981,260.0818,K13
K0+298.9227,2850732.432,362869.6317,218.9901,280.6484,K14
K0+320.2663,2850724.938,362889.6164,220.1111,298.9227,K15
K0+340.3768,2850718.281,362908.5962,220.1571,320.2663,K16
K0+360.0997,2850711.217,362927.0124,224.5201,340.3768,K17
K0+380.6492,2850704.428,362946.4113,224.9231,360.0997,K18
K0+400.4593,2850696.062,362964.439,229.1351,380.6492,K19
K0+420.0782,2850690.035,362983.1276,231.7341,400.4593,K20
K0+440.8071,2850683.298,363002.7371,232.5241,420.0782,K21
K0+460.6913,2850676.26,363021.3347,233.3181,440.8071,K22
K0+480.5975,2850669.362,363040.0073,233.9871,460.6913,K23
K0+499.5797,2850662.331,363057.6462,236.3741,480.5975,K24
K0+520.3711,2850655.487,363077.2826,243.8901,499.5797,K25
K0+540.3593,2850649.063,363096.218,250.2651,520.3711,K26
K0+559.8971,2850648.059,363116.6759,253.4111,540.3593,K27
K0+580.8225,2850634.779,363134.077,254.1181,559.8971,K28
K0+600.6019,2850627.483,363152.4678,257.9421,580.8225,K29
K0+620.0091,2850620.417,363170.5462,267.2881,600.6019,K30
K0+640.1165,2850613.875,363189.5654,274.6381,620.0091,K31
K0+660.4768,2850606.665,363208.6071,281.5581,640.1165,K32
K0+680.4172,2850600.47,363227.576,287.7461,660.4768,K33
K0+700.6409,2850593.032,363246.3878,292.2881,680.4172,K34
K0+719.8533,2850586.075,363264.299,294.1651,700.6409,K35
K0+740.4458,2850579.25,363283.7305,294.3411,719.8533,K36
K0+760.0652,2850571.89,363301.9271,294.5901,740.4458,K37
K0+780.2626,2850565.669,363321.1604,291.7901,760.0652,K38
K0+800.2943,2850557.667,363339.5591,290.3231,780.2626,K39
K0+820.3308,2850551.693,363358.7123,290.4071,800.2943,K40
K0+839.1125,2850544.214,363375.9717,296.1491,820.3308,K41
K0+860.3432,2850538.127,363396.3561,303.9641,839.1125,K42
K0+880.7319,2850530.424,363415.2458,313.3821,860.3432,K43
K0+900.3257,2850523.605,363433.6148,320.8141,880.7319,K44
K0+920.2029,2850516.463,363452.1666,326.7291,900.3257,K45
K0+939.9110,2850509.869,363470.7403,334.2851,920.2029,K46
K0+960.5025,2850503.54,363490.3542,343.3351,939.911,K47
K0+979.0903,2850496.313,363507.5,346.2701,960.5025,K48
K1+000.8076,2850488.637,363527.8161,344.4871,979.0903,K49
K1+020.4824,2850481.721,363546.2356,333.5791,1000.8076,K50
K1+040.6479,2850474.77,363565.1651,323.6561,1020.4824,K51
K1+060.7829,2850452.568,363578.4268,318.6971,1040.6479,K52
K1+100.1827,2850448.868,363619.0632,309.3351,1060.7829,K53
K1+120.3215,2850447.148,363639.8976,306.1411,1100.1827,K54
K1+139.9183,2850440.444,363658.3123,297.0191,1120.3215,K55
K1+160.3855,2850433.34,363677.5069,292.4281,1139.9183,K56
K1+179.2949,2850427.588,363695.5404,290.5341,1160.3855,K57
K1+200.1537,2850420.147,363715.0283,289.5511,1179.2949,K58
K1+220.4280,2850412.984,363733.9955,283.8991,1200.1537,K59
K1+240.1095,2850405.804,363752.3245,282.2661,1220.428,K60
K1+280.0102,2850391.973,363789.7514,279.0781,1240.1095,K61
K1+319.8934,2850377.929,363827.0808,281.4631,1280.0102,K62
K1+340.0797,2850370.998,363846.0401,279.7951,1319.8934,K63
K1+360.7273,2850363.967,363865.4543,278.6011,1340.0797,K64
K1+380.6087,2850357.641,363884.3122,278.8931,1360.7273,K65
K1+400.7342,2850350.194,363903.0158,279.7421,1380.6087,K66
K1+420.6638,2850343.537,363921.8024,280.7881,1400.7342,K67
K1+440.5104,2850336.695,363940.4325,280.2701,1420.6638,K68
K1+460.4657,2850329.91,363959.1995,278.8051,1440.5104,K69
K1+480.3372,2850323.197,363977.9038,276.4231,1460.4657,K70
K1+500.3250,2850315.572,363996.395,274.0831,1480.3372,K71
K1+520.0667,2850308.587,364014.8601,270.7251,1500.325,K72
K1+539.8552,2850301.799,364033.4483,266.1931,1520.0667,K73
K1+560.5339,2850295.282,364053.0854,263.6771,1539.8552,K74
K1+580.1058,2850288.353,364071.3902,267.2081,1560.5339,K75
K1+600.3836,2850280.98,364090.284,268.7141,1580.1058,K76
K1+620.2349,2850273.805,364108.7956,273.4541,1600.3836,K77
K1+640.4414,2850267.333,364127.9461,268.6511,1620.2349,K78
K0+000.7991,2850835.864,362589.1739,261.9411,1640.4414,K79
