iteration,rms,roughness,multiplier,step_scale,rank,condition_number,n_active_bounds,active_lower,active_upper,solver,solve_attempts,damping,initial_condition_number
0,25.71325947234269,0.0,5.0,0.0,0,,0,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",initial,0,0.0,
1,8.123749768657653,0.06559313252827526,5000.0,1.0,30,12.912843820060083,0,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",scipy_lsq_linear_trf,1,0.0,12.912843820060083
2,6.405503559075032,0.15186515436469497,1581.1388300841897,1.0,30,7.440554010300929,0,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",scipy_lsq_linear_trf,1,0.0,7.440554010300929
3,6.161308256121974,0.40869701155423394,500.00000000000006,1.0,30,10.349108921290087,0,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",scipy_lsq_linear_trf,1,0.0,10.349108921290087
4,6.051976843018577,1.3128369987272923,158.11388300841898,1.0,30,13.603261061781403,0,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",scipy_lsq_linear_trf,1,0.0,13.603261061781403
5,5.993276298771878,2.4249076480334586,50.00000000000001,0.5,30,23.81714943084692,0,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",scipy_lsq_linear_trf,1,0.0,23.81714943084692
6,5.9006539271238605,2.9433254720706024,50.00000000000001,1.0,30,30.50158204019186,0,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",scipy_lsq_linear_trf,1,0.0,30.50158204019186
7,5.8799806448398,4.646515800300298,15.8113883008419,0.25,30,52.16690008422383,0,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",scipy_lsq_linear_trf,1,0.0,52.16690008422383
8,5.832422376237384,7.306773966104585,15.8113883008419,1.0,30,76.23215817970998,0,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",scipy_lsq_linear_trf,1,0.0,76.23215817970998
9,5.825091984359367,12.15457126198488,5.000000000000001,0.5,30,160.9322158604944,1,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","[True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",scipy_lsq_linear_trf,1,0.0,160.9322158604944
