index,paper_label,station,delta_log10_rho,rho_correction_factor,impedance_factor
0,S01,23-26-001A,-0.034472446,1.082611,1.040486
1,S02,23-26-002A,0.073583758,0.84414343,0.91877278
2,S03,23-26-003U,-0.03229573,1.0771985,1.0378817
3,S04,23-26-004A,-0.08017834,1.2027582,1.0967034
4,S05,23-26-005U,-0.16599637,1.4655356,1.2105931
5,S06,23-26-006A,-0.31800475,2.0797194,1.4421232
6,S07,23-26-007U,-0.10096557,1.2617275,1.1232664
7,S08,23-26-008A,0.020882065,0.95305494,0.97624533
8,S09,23-26-009A,0.32243677,0.47595208,0.6898928
9,S10,23-26-010U,0.049155887,0.89298489,0.94497878
10,S11,23-26-011A,-0.0114308,1.0266698,1.0132472
11,S12,23-26-012A,0.0026695452,0.993872,0.99693129
12,S13,23-26-013U,0.12839203,0.74406002,0.86258914
13,S14,23-26-014A,-0.10486862,1.2731179,1.1283253
14,S15,23-26-015A,0.00024764898,0.99942993,0.99971492
15,S16,23-26-016A,-0.16036477,1.4466543,1.2027694
16,S17,23-26-017U,0.6668563,0.21534942,0.46405756
17,S18,23-26-018A,0.29104059,0.51163401,0.71528596
18,S19,23-26-019U,-0.092953144,1.2386629,1.1129524
19,S20,23-26-020A,0.1188529,0.76058385,0.87211459
20,S21,23-26-021U,-0.217007,1.648189,1.2838181
21,S22,23-26-022U,-0.12959258,1.347698,1.160904
22,S23,23-26-023A,0.38566815,0.41146401,0.6414546
23,S24,23-26-024A,0.13377127,0.73490081,0.85726356
24,S25,23-26-025U,0.36198992,0.43452031,0.65918155
